Cluster_ID,Feature_Name
0,f1
0,f2
0,f1_d_dx_prc_5
0,f2_d_dx_prc_5
0,CPP_F1_comp
0,F1_F2_comp
0,intensity_CV
0,speech_rate
0,mean_phrase_dur
0,cv_pause_dur
0,fft_peaks1
0,fft_peaks2
0,ratio_below_above
1,f2_d_dx_median
1,CPP_F2_comp
1,total_dur
1,speech_dur
1,percent_pause
1,num_pause
1,mean_pause_dur
1,total_pause_dur
2,f1_bw
2,f2_bw
2,f2_d_dx_prc_95
2,f2_d_dx_prc_5_95
2,f0_mean
2,f0_std
2,CPP_mean
2,cv_phrase_dur
3,f1_d_dx_median
3,f1_d_dx_prc_95
3,f1_d_dx_prc_5_95
3,fft_ampli1
3,fft_ampli2
3,nrj_below_boundary
3,nrj_above_boundary
3,nrj_3_6
