Participant_Index,JS_Divergence,Cosine_Similarity,Bhattacharyya_Coefficient
0,0.4325091789134208,0.33652220272117606,0.6251662535169897
1,0.5560616802950795,0.3919710458799216,0.47698880005774913
2,0.3369215359215161,0.6991436898660867,0.6658843484224525
3,0.3146484542294713,0.6896081342424198,0.6895671772028933
4,0.5653387100026473,0.4485295143451222,0.4347493414341752
5,0.19048100953622768,0.7249659049207025,0.8590044124353867
6,0.14932013530977814,0.7782130579402804,0.002658844058955186
7,0.2103455115869971,0.7039514155929889,0.0024299201066067706
8,0.12360031400377411,0.7165746827998827,0.9126183242196102
9,0.10854159773617449,0.737648687925477,0.92363737527809
10,0.09452164535283862,0.8113475823417138,0.0027789969826511403
11,0.39088352641121954,0.6667653614828849,0.6416149875753022
12,0.156737665264503,0.7985271921944724,0.8818936014054541
13,0.1475571267982736,0.6628980430708544,0.8942815652278243
14,0.6515912293600203,0.2552476215131964,0.4110971229594561
15,0.0892515026456795,0.8015296346991378,0.0027931449675504326
16,0.167414241999917,0.7938098476179936,0.0025191950394785403
17,0.14751402094226412,0.8397173287162136,0.0025608906545498914
18,0.3284512741796166,0.6100330914953552,0.7235070325259797
19,0.26028904930341656,0.6105676631333092,0.7784465161410752
20,0.1796532078994415,0.7819253476159457,0.002493741310971887
21,0.15831525219406314,0.9326344904102982,0.8470201879630684
22,0.16627318693737247,0.6466916435552206,0.8804495708160075
23,0.887030612645768,0.05303529381253082,0.16948318887501762
24,0.03806763037097424,0.9272949486603451,0.0029002289789830118
25,0.14740196769009303,0.7288768274864348,0.002663285214370051
26,0.13528801560650763,0.8309003588151586,0.8871246521738079
27,0.5826079890603467,0.25307027081563155,0.4954647381724113
28,0.6011280555755734,0.30490434398547694,0.41344731594936324
29,0.5643387930113322,0.3836803849341766,0.48660926344438965
30,0.6022740944597076,0.3673172391774213,0.42758870268228666
31,0.6602011143039779,0.10453439500454295,0.3905066748990794
32,0.48435673976988963,0.5082566315506384,0.5596769106974174
33,0.24680697913426472,0.6396233761086403,0.7703572348341585
34,0.10751367411088511,0.8158489580746893,0.9223657773024244
35,0.15783561853192776,0.764372476672464,0.0026307479645226164
36,0.5436932811208596,0.2704222848416685,0.45643030794655887
37,0.5808393939652008,0.23304351144227103,0.4780536124621231
38,0.5244995832137326,0.4492828001414708,0.5209279422014125
39,0.22998788207879534,0.7207115585561226,0.8017545888561783
40,0.377479544519846,0.37045017670702957,0.7172427850162568
41,0.14764253547535022,0.8321821130722167,0.002603056866796483
42,0.5465963828659679,0.31264177662114,0.5082146593043942
43,0.4602619909950749,0.43930042841082895,0.5764171450011197
44,0.34437429858002716,0.6495070686859992,0.678871838431632
45,0.5620470152108396,0.4057079120667796,0.4443832017555693
46,0.05431341490371341,0.8765313749954335,0.002866917328344811
47,0.4973637719469511,0.5483016623985545,0.5443217355156855
48,0.1490744486054168,0.7308045408761416,0.8905284297729168
49,0.5225253707747978,0.36695016705108796,0.5260560538252046
50,0.1798431498972476,0.7072320646576056,0.8619511983949608
51,0.4128659971158357,0.5065072273364408,0.6189495083177117
52,0.04705086152634953,0.8744772577149689,0.0028822827887125236
53,0.3222102404184981,0.6569257051859366,0.7189261105770143
54,0.5886749667147754,0.397938414392322,0.41283793427701465
55,0.42028133027559245,0.6972364487754984,0.6111006444163973
56,0.15411437459794677,0.8217076031075368,0.002547022129045659
57,0.29672234377109424,0.6691005147009714,0.7283887186948945
58,0.32041753110142523,0.5110881375152156,0.7462528645051043
59,0.09612575289885647,0.82390338070778,0.0027735412198794645
60,0.06239951377648929,0.8497001568579805,0.9562559439968928
61,0.5307079332483183,0.3808853208483367,0.5218213497360047
62,0.24061113010887714,0.616021284801481,0.8038359570179437
63,0.15322355383869574,0.8247307180992263,0.002548916763409425
64,0.2908831932660677,0.6137617516890278,0.7318890267316319
65,0.05364735369237244,0.8834172587071052,0.9622577950121018
66,0.999999999999871,2.8375699110272437e-15,8.123171166711412e-08
67,0.3273754143645171,0.6658505227976235,0.002072349942513942
68,0.1378828776815202,0.8632506579946582,0.002599487810718584
69,0.49125339466907153,0.4721234070790018,0.54459323961077
70,0.47035569471689986,0.29296701055864727,0.5870119975215239
71,0.32306826278738415,0.6494557917544097,0.002141451754994205
72,0.6734898038710128,0.23631603328264772,0.3327850638061788
73,0.1561622675042884,0.9128604721287503,0.8491699795313725
74,0.15989267575026578,0.809358790931167,0.002534951832105272
75,0.42740105887997826,0.31602128587353023,0.6616719712194111
